Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,ADANIGREEN.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,INFY.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAPOWER.NS,TCS.NS,WIPRO.NS,ADANIGREEN.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,INFY.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAPOWER.NS,TCS.NS,WIPRO.NS,ADANIGREEN.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,INFY.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAPOWER.NS,TCS.NS,WIPRO.NS,ADANIGREEN.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,INFY.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAPOWER.NS,TCS.NS,WIPRO.NS,ADANIGREEN.NS,CIPLA.NS,DIVISLAB.NS,DRREDDY.NS,HCLTECH.NS,INFY.NS,ONGC.NS,RELIANCE.NS,SUNPHARMA.NS,TATAPOWER.NS,TCS.NS,WIPRO.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,41.400001525878906,495.70428466796875,1405.7308349609375,498.2218322753906,382.5762023925781,553.448486328125,94.748291015625,498.4906005859375,402.755859375,70.02618408203125,1582.1663818359375,112.14734649658203,41.849998474121094,496.6046290566559,1420.5937845895405,503.37214222811446,384.6288948264747,554.4887248374226,95.7691519174612,501.29214786232393,407.63296310295226,70.52833032036892,1588.1530963633081,114.24163144483067,41.150001525878906,491.5343568404027,1399.6333458131676,496.87456344719595,379.7861482332151,544.3776370027874,94.42927320075758,493.64356580482286,399.13287370423143,69.66099441656353,1567.3657521700711,111.71818945862216,41.849998474121094,492.81375402568904,1414.8296174051777,500.33357016552964,383.43315732960485,550.0365243347873,95.70534446022728,500.3805422248043,401.7804499694015,70.30008329667841,1576.5121836150954,113.55498018409487,105166,1361809,254899,1693785,717468,2943390,4496586,9746670,8487116,2153622,1094883,4036542
2019-01-02,41.150001525878906,487.6487121582031,1401.395751953125,497.0752868652344,377.1953430175781,556.7772827148438,93.82313537597656,491.99822998046875,408.7942199707031,68.33715057373047,1599.2117919921875,111.76968383789062,42.5,495.18308842168216,1413.4955937689326,500.3144827546019,383.4331160184606,560.8966376155556,94.65258358939363,501.15872336812794,409.8625607191072,70.25442398530221,1608.4828650723086,113.74380610896401,40.54999923706055,486.32194050338194,1392.344654378456,492.10652915135734,374.32559279615106,550.9519467158691,92.99368716255948,489.5969165762727,398.7613311899019,67.9263087589457,1579.837949173104,110.89420073238014,41.099998474121094,494.61448026163976,1407.1122346318632,498.0212503395244,382.23737865041966,554.2391107595846,94.42926723882542,495.60015556027656,399.9225464816605,70.1174813574044,1583.9954174604018,112.88549207806254,288827,1243067,247208,2087755,2270096,7416655,17436694,15628818,9656878,2504768,2100463,8822139
2019-01-03,40.95000076293945,485.6111755371094,1369.9549560546875,492.5459899902344,377.99249267578125,556.8604125976562,90.85626220703125,485.9283142089844,405.1247863769531,67.74371337890625,1579.7965087890625,111.75252532958984,42.150001525878906,493.2876753003695,1412.7333202862944,499.7029436971528,382.6359490804534,563.3930891039366,92.92987783083178,495.6446470445033,412.0920779506797,69.61534174650626,1617.2137275171976,112.59367036541337,40.75,484.4739013162861,1364.4289768471367,489.9947465609691,376.6572623760713,551.8256183605706,90.34584153430826,484.74990584992383,403.17393906631327,67.42416894104795,1574.1007969050313,110.91138029376631,41.5,489.4967997937384,1409.6844600571842,497.8300878223329,378.65015794419867,559.2321357132133,92.51515860033179,492.48739248563277,410.6521540154537,69.38709472438657,1595.636505317587,112.26751379682338,211035,2086150,536515,2709455,2809224,6827249,26599483,16288287,9479511,4583837,2611668,9446080
2019-01-04,40.54999923706055,485.990234375,1391.487060546875,496.87457275390625,371.6152038574219,550.1196899414062,92.9617919921875,488.55194091796875,402.9881286621094,68.51976013183594,1560.588623046875,111.39202880859375,41.29999923706055,487.9804787470288,1401.6814074172257,498.0212180474988,378.869348141893,560.8133716481908,93.28080981627575,491.13112295781303,408.654864747073,68.97625418477142,1580.835470352302,112.21601173984861,40.400001525878906,481.4885696553564,1360.7609683163807,489.61258309582394,368.68565728452825,541.7561829893202,90.63296577060378,480.74775348639315,401.50179582341474,67.28722061647294,1530.7796000755764,109.74406993106204,40.95000076293945,486.17978972150325,1369.9550005698072,493.0524606557993,377.05581815260945,559.0241412028815,90.63296577060378,487.99610191217863,407.9116983277257,67.8350190524327,1579.8377187091771,111.40919788454869,169984,1651456,391849,2036985,3077278,7889310,7395898,18516544,6228693,3170169,4280862,6414073
2019-01-07,41.099998474121094,487.17486572265625,1415.7823486328125,488.9723815917969,375.2821350097656,558.982666015625,94.33358764648438,491.2645263671875,400.201171875,68.20021057128906,1578.091796875,111.32335662841797,42.25,490.68143705411717,1424.3570734899424,499.52141947331455,378.6501331649635,560.5637983300096,94.68449951344898,497.3567000020006,406.88978237735904,69.15885089466144,1587.155097835165,112.18167065068866,41.0,483.62092001729087,1392.2971067359097,484.8922581383874,373.0301777615551,550.4943082468881,92.99370870400097,489.59694997421326,398.8077137161734,67.78936869872756,1564.0395340836271,110.65387448503779,41.0,489.02292905827994,1400.5383933312478,499.52141947331455,374.6244941117234,553.4069765444906,94.14217497817921,492.2650662661068,406.0537131520589,68.88495166925601,1573.0197059800764,111.95850760790279,292864,1168002,456830,2712075,2344752,8046340,12700566,12060290,4118235,1691362,1856423,5076276
2019-01-08,40.75,486.7958068847656,1389.9150390625,491.2369079589844,376.717041015625,557.609375,94.0783462524414,491.2200622558594,416.2259521484375,68.4284439086914,1574.474853515625,111.76968383789062,41.5,490.16019720885953,1419.5931335374853,494.3615030956908,377.8529817043709,563.7676065703065,95.1311108224129,493.57687903332504,417.1084870132904,68.93059006625307,1585.1595266991353,112.43916598800278,40.5,484.52125852371097,1386.342237551919,487.51038385397214,371.91414346352553,556.3610889351722,93.34460921466021,487.3735375588875,401.6411066949316,68.06325430196866,1565.9520435383959,110.75686909044042,41.099998474121094,489.02292302833223,1418.4498835749523,489.4214398014038,377.8529817043709,561.6871297955935,95.1311108224129,491.4201643000039,402.9880992755213,68.24584910533002,1584.3280330428202,111.58085195710132,259216,1765015,345960,3447490,3031576,8621545,6163846,12304389,12368631,1684121,1691756,5559089
2019-01-09,40.650001525878906,483.4313659667969,1403.634521484375,497.4669494628906,374.026611328125,562.6441040039062,92.70658111572266,493.9326171875,416.876220703125,67.88066101074219,1568.98681640625,112.95416259765625,41.20000076293945,489.7336902063224,1407.2073227438805,498.95757071048314,378.0721743172003,574.0451265914124,94.55688059096605,496.7119013047195,421.4281782229797,68.93059867506095,1595.636227030668,114.19013349478794,40.5,480.9672913008391,1391.0106237007892,493.22440309346626,371.59526438971267,552.5746169933219,92.41946702275749,488.5741806820127,412.18492304133173,67.42416697978152,1552.149070915176,111.4263663058512,41.20000076293945,488.59641607677804,1391.820435392519,493.22440309346626,377.4543816203533,571.0492604308932,94.36546795043883,494.4884858846745,418.50192184235726,68.56540205718319,1585.990921518634,111.4263663058512,160411,1929305,248643,2321680,2471720,18130292,4951441,12614237,9034282,2006348,2414376,10474346
2019-01-10,40.650001525878906,486.4166564941406,1448.6043701171875,496.9510498046875,373.01025390625,565.6400756835938,91.39862060546875,492.48736572265625,413.0210266113281,68.3828125,1570.317138671875,111.83834838867188,40.95000076293945,487.98041559520635,1453.463473665564,498.78564735017324,375.86010430075953,567.5541042931591,93.79125465273233,494.04377419977465,416.17952627466656,68.56540734023498,1583.9951665703359,113.65797696433117,40.5,482.3888517399271,1397.9182678234545,493.65446633332715,371.475734049107,559.6898913698144,91.23911166898452,490.4862860716892,409.16579783034234,67.46982436773176,1556.6390092727395,110.89420293591947,40.95000076293945,482.3888517399271,1401.2051989982801,496.5114859015713,375.86010430075953,567.2212076684983,93.08941143794054,492.59853351611844,413.4855126897597,67.78936882091631,1571.5227636839552,113.5721455595355,82567,1252439,1072651,1952070,1832096,9572493,7131028,8925160,3672333,1704653,3053461,8265043
2019-01-11,39.75,483.52618408203125,1434.0274658203125,494.6098937988281,374.684326171875,568.802490234375,92.29185485839844,488.2851257324219,412.83526611328125,68.47410583496094,1532.0687255859375,112.85115814208984,41.349998474121094,491.866098656114,1461.2283284943169,498.93840470373215,375.06298123093444,570.466872063883,92.83418906679499,495.2889048168985,417.80527336752755,68.7023528544108,1559.0506549879854,113.26315308329067,39.5,481.6781206974373,1427.072364766226,493.0523787120395,366.6928190568116,559.6483901720808,91.65381919470911,484.082864218601,410.2341551288075,67.37852292782007,1525.7909076815752,111.06586768515278,40.650001525878906,486.55889606647133,1448.1280545447448,498.93840470373215,372.6715063240422,566.0562703742672,91.87713557126102,492.531854365571,413.4390924114644,68.56540324963164,1554.8931865746843,111.78685010103207,346640,2051418,1149372,1583935,4331368,12281903,7665486,14139060,3778103,3214817,9209862,4263836
