Date,TCS.NS,INFY.NS,WIPRO.NS,HCLTECH.NS,RELIANCE.NS,ONGC.NS,TATAPOWER.NS,ADANIGREEN.NS,SUNPHARMA.NS,DRREDDY.NS,CIPLA.NS,DIVISLAB.NS
2019-01-01,1582.1663818359375,553.448486328125,112.14734649658203,382.5762023925781,498.4906005859375,94.748291015625,70.02618408203125,41.400001525878906,402.755859375,498.2218322753906,495.70428466796875,1405.7308349609375
2019-01-02,1599.2117919921875,556.7772827148438,111.76968383789062,377.1953430175781,491.99822998046875,93.82313537597656,68.33715057373047,41.150001525878906,408.7942199707031,497.0752868652344,487.6487121582031,1401.395751953125
2019-01-03,1579.7965087890625,556.8604125976562,111.75252532958984,377.99249267578125,485.9283142089844,90.85626220703125,67.74371337890625,40.95000076293945,405.1247863769531,492.5459899902344,485.6111755371094,1369.9549560546875
2019-01-04,1560.588623046875,550.1196899414062,111.39202880859375,371.6152038574219,488.55194091796875,92.9617919921875,68.51976013183594,40.54999923706055,402.9881286621094,496.87457275390625,485.990234375,1391.487060546875
2019-01-07,1578.091796875,558.982666015625,111.32335662841797,375.2821350097656,491.2645263671875,94.33358764648438,68.20021057128906,41.099998474121094,400.201171875,488.9723815917969,487.17486572265625,1415.7823486328125
2019-01-08,1574.474853515625,557.609375,111.76968383789062,376.717041015625,491.2200622558594,94.0783462524414,68.4284439086914,40.75,416.2259521484375,491.2369079589844,486.7958068847656,1389.9150390625
2019-01-09,1568.98681640625,562.6441040039062,112.95416259765625,374.026611328125,493.9326171875,92.70658111572266,67.88066101074219,40.650001525878906,416.876220703125,497.4669494628906,483.4313659667969,1403.634521484375
2019-01-10,1570.317138671875,565.6400756835938,111.83834838867188,373.01025390625,492.48736572265625,91.39862060546875,68.3828125,40.650001525878906,413.0210266113281,496.9510498046875,486.4166564941406,1448.6043701171875
2019-01-11,1532.0687255859375,568.802490234375,112.85115814208984,374.684326171875,488.2851257324219,92.29185485839844,68.47410583496094,39.75,412.83526611328125,494.6098937988281,483.52618408203125,1434.0274658203125
2019-01-14,1507.7056884765625,584.1146240234375,107.30644226074219,373.54833984375,487.7292785644531,91.52620697021484,67.83502197265625,39.599998474121094,418.8271179199219,492.8231201171875,485.18463134765625,1458.1318359375
